damageDealt	headshotKills	heals	killPlace	killPoints	kills	killStreaks	longestKill	matchDuration	matchType	numGroups	rankPoints	revives	rideDistance	roadKills	swimDistance	winPoints	winPlacePerc
200	0	0	69	0	0	0	0	2007	3	28	1480	0	0	0	0	0	0.25
0	0	0	92	0	0	0	0	1817	3	29	1514	0	0	0	0	0	0.0714
129.4	1	5	23	1188	1	1	18.31	1972	2	47	-1	1	0	0	0	1621	0.9796
0	0	0	71	0	0	0	0	1809	3	27	1484	0	317.8	0	0	0	0.2963
100	0	1	30	0	1	1	10.64	1318	3	28	1489	0	0	0	0	0	0.5
161.8	0	0	27	1077	1	1	8.427	1442	2	50	-1	0	867.1	0	0	1512	0.5714
283.1	1	14	27	0	1	1	151.9	1777	2	47	1494	0	0	0	0	0	0.8958
190.3	0	0	47	1425	1	1	2.431	1341	3	30	-1	0	0	0	0	1528	0.2414
239.6	1	2	10	0	3	1	291	1665	3	27	1500	0	0	0	0	0	0.7143
143.5	1	1	20	0	2	1	7.58	1892	3	25	1490	0	0	0	0	0	0.3462
46.41	0	0	81	0	0	0	0	1493	1	94	1499	0	0	0	0	0	0.1489
125.9	0	0	56	0	0	0	0	1719	3	25	1496	0	0	0	0	0	0.2692
36	0	0	84	0	0	0	0	1999	1	92	1507	0	0	0	0	0	0.1075
199.8	0	0	40	0	1	1	28.8	1423	2	48	1469	0	0	0	0	0	0.2292
80.6	0	0	66	0	0	0	0	1391	2	48	1496	0	0	0	0	0	0.5
0	0	0	64	1000	0	0	0	1399	2	47	-1	0	0	0	0	1500	0.3958
126.3	0	1	52	1463	0	0	0	1796	3	20	-1	0	0	0	0	1514	0.25
47.85	0	5	62	0	0	0	0	1913	3	26	1340	0	0	0	0	0	0.4231
64.73	0	1	49	0	0	0	0	1287	3	29	1533	0	0	0	0	0	0.7586
566.4	2	1	2	1072	6	4	42.99	1380	2	47	-1	0	0	0	0	1482	0.5106
0	0	0	85	1054	0	0	0	1743	3	29	-1	0	0	0	0	1507	0.1071
236	0	7	7	1142	3	1	11.72	1423	1	88	-1	0	0	0	0	1557	0.9355
604.7	2	7	4	0	5	1	99.23	1465	1	92	1543	0	0	0	0	0	0.9891
65.28	0	0	84	1347	0	0	0	1387	3	29	-1	0	0	0	0	1469	0.1429
0	0	0	94	0	0	0	0	1360	3	27	1489	0	0	0	0	0	0
0	0	0	40	0	0	0	0	1321	2	46	1526	0	0	0	251	0	0.7021
116.9	0	1	49	1242	0	0	0	1403	3	27	-1	0	0	0	0	1468	0.6923
76.44	0	2	50	0	0	0	0	1441	1	95	1560	0	1054	0	0	0	0.883
58.36	0	2	38	0	0	0	0	1708	3	25	1494	0	5134	0	0	0	1
150	0	0	41	1575	1	1	14.27	1369	3	29	-1	0	0	0	0	1465	0.4643
19.35	0	0	96	0	0	0	0	1923	1	89	1500	0	0	0	0	0	0
100	0	0	83	1000	0	0	0	1399	2	46	-1	0	0	0	0	1462	0.0816
0	0	0	58	0	0	0	0	1356	1	93	1494	0	0	0	0	0	0.6526
141.7	0	0	72	1137	0	0	0	1309	3	28	-1	0	0	0	0	1444	0.3214
454.2	0	5	11	0	2	1	104.6	1840	3	30	1494	0	5967	0	0	0	0.871
64.31	0	0	75	1047	0	0	0	1885	2	44	-1	0	0	0	0	1467	0.0833
347.5	0	3	16	1604	2	2	42.61	1822	3	27	-1	1	0	0	0	1552	0.2308
0	0	0	68	311	0	0	0	1414	2	36	0	0	0	0	0	847	0
22.05	0	0	65	0	0	0	0	1290	1	94	1547	0	0	0	0	0	0.4105
76.11	0	12	45	0	0	0	0	1388	2	47	1468	1	0	0	0	0	1
30.1	0	1	60	1405	0	0	0	1878	2	44	-1	0	0	0	0	1585	0.3409
0	0	0	54	0	0	0	0	2048	2	48	1459	0	2519	0	0	0	0.6327
0	0	0	65	0	0	0	0	1471	1	94	1500	0	0	0	0	0	0.3878
291.7	0	0	31	1209	1	1	8.016	1871	2	44	-1	2	0	0	0	1445	0.6667
626.2	3	2	4	1333	6	2	85.74	1405	3	28	-1	0	1045	0	0	1566	1
100	0	1	30	0	1	1	41.69	1370	3	27	1470	1	0	0	0	0	0.5926
205.3	0	0	21	1122	2	2	5.563	1283	3	26	-1	0	0	0	0	1453	0.3462
161.8	0	0	15	1004	2	1	52.75	1349	1	93	0	0	0	0	0	1495	0.6667
125.8	1	0	28	1282	1	1	19	1448	2	48	-1	1	0	0	0	1522	0.5625
0	0	0	82	1213	0	0	0	1340	3	27	-1	0	0	0	0	1486	0.037
241.4	1	4	11	1165	3	1	83.22	1905	3	25	-1	0	4522	0	0	1440	0.68
396.7	1	2	26	1814	1	1	65.39	1882	3	27	-1	0	2385	0	0	1575	0.8148
269.7	0	5	6	0	3	1	50.21	1910	3	29	1395	2	0	0	0	0	0.9643
43	0	0	61	1378	0	0	0	1394	2	49	-1	0	0	0	0	1496	0.4583
0	0	0	87	0	0	0	0	1357	3	24	1444	0	0	0	0	0	0.0385
115.7	0	0	51	0	0	0	0	1769	2	46	1500	0	2389	0	0	0	0.6327
107.3	0	1	83	0	0	0	0	1334	3	29	1553	0	0	0	0	0	0.069
61.62	0	2	35	0	1	1	2.294	1381	2	47	1521	0	0	0	0	0	0.3542
37.73	0	0	68	1335	0	0	0	1349	1	96	-1	0	0	0	0	1602	0.3474
200	1	0	25	0	2	2	5.288	1906	2	46	1471	0	0	0	0	0	0.2083
0	0	0	90	1000	0	0	0	1453	1	97	0	0	0	0	0	1500	0.0825
52.94	0	0	41	1479	1	1	3.465	1400	3	29	-1	2	0	0	0	1434	0.1786
0	0	0	49	0	0	0	0	1935	1	96	1502	0	1247	0	0	0	0.7604
216.2	0	1	12	1184	2	1	79.95	1435	1	92	-1	0	299.6	0	0	1538	0.9255
0	0	0	91	1197	0	0	0	1307	3	27	-1	0	0	0	0	1520	0
0	0	0	89	1480	0	0	0	1374	3	29	0	0	0	0	0	1487	0.1071
209.9	1	2	12	0	3	1	79.69	1862	3	27	1503	1	1731	0	0	0	0.3846
0	0	0	65	1204	0	0	0	1516	3	32	-1	0	0	0	0	1502	0.2727
0	0	0	65	0	0	0	0	1384	1	95	1500	0	0	0	0	0	0.4421
100	0	0	44	0	1	1	1.463	1375	3	25	1555	0	0	0	0	0	0.037
39	0	0	83	1082	0	0	0	1278	3	28	-1	0	0	0	0	1504	0.1429
0	0	0	84	0	0	0	0	1720	3	28	1471	0	0	0	0	0	0.1071
0	0	0	92	309	0	0	0	1377	2	41	-1	0	0	0	0	765	0
81.98	0	0	55	0	0	0	0	1335	2	47	1463	0	0	0	0	0	0.6087
0	0	0	81	0	0	0	0	1327	2	46	1508	0	0	0	0	0	0.125
0	0	5	44	0	0	0	0	1895	2	44	1700	0	3930	0	0	0	0.7333
175	0	3	42	0	1	1	38.51	1354	2	48	1521	0	0	0	0	0	0.3542
0	0	0	68	0	0	0	0	1879	3	28	1500	0	0	0	0	0	0.4074
167.4	1	5	12	0	2	1	82.58	1801	1	85	1500	0	4146	0	0	0	0.9222
100	0	0	30	0	1	1	16.18	1898	3	26	1413	0	0	0	0	0	0.6538
0	0	0	77	0	0	0	0	1950	2	45	1500	0	0	0	0	0	0.1957
0	0	0	87	0	0	0	0	1839	3	27	1468	0	0	0	0	0	0.0357
28.59	0	0	64	1237	0	0	0	1262	2	49	-1	0	0	0	0	1528	0.5208
96.75	0	0	77	0	0	0	0	1368	2	47	1486	0	0	0	0	0	0.2292
0	0	0	71	0	0	0	0	1808	3	29	1467	0	0	0	0	0	0.2857
0	0	1	40	0	0	0	0	1380	3	26	1464	0	0	0	0	0	0.8889
5.142	0	1	46	1254	0	0	0	1391	2	50	-1	0	637.4	0	71.27	1524	0.9592
28.08	0	0	85	0	0	0	0	1402	3	26	1349	0	0	0	42.6	0	0.0769
184	0	9	44	1245	0	0	0	1703	3	27	-1	0	2098	0	0	1554	0.9259
54.36	0	0	85	0	0	0	0	1785	3	27	1498	0	0	0	0	0	0.037
210.9	2	2	5	1193	4	2	42.15	1339	3	31	-1	1	399.7	0	0	1475	0.6774
0	0	6	59	0	0	0	0	1959	2	48	1500	0	3300	0	0	0	0.5833
2.105	0	0	62	1023	0	0	0	1970	2	45	-1	0	4813	0	0	1511	0.4222
278	0	1	18	1395	1	1	11.45	1420	2	47	-1	1	0.1031	0	21.72	1625	0.9787
50.31	0	0	82	1000	0	0	0	1351	3	28	-1	0	0	0	0	1500	0.1786
59.16	1	1	25	0	1	1	168.1	1380	3	30	1454	0	0	0	122.3	0	0.8667
151.6	0	0	34	0	1	1	7.58	1413	3	27	1548	0	0	0	0	0	0.5
56.44	0	0	29	0	1	1	12.84	1377	2	46	1519	0	0	0	0	0	0.8085
53.32	0	0	83	0	0	0	0	1889	1	93	1559	0	0	0	0	0	0.1579
84.15	0	0	53	0	0	0	0	1883	3	29	1433	0	0	0	0	0	0.7333
100	0	0	84	0	0	0	0	1302	3	27	1419	0	0	0	0	0	0.0357
153.8	0	0	33	0	1	1	4.873	1386	3	28	1419	0	0	0	0	0	0.6296
9.98	0	7	9	0	2	2	4.77	1780	3	30	1516	2	1963	0	0	0	0.8966
381.2	1	2	5	0	4	2	63.89	1882	1	92	1510	0	0	0	0	0	0.9375
22.44	0	0	83	1000	0	0	0	1805	3	28	-1	0	0	0	0	1500	0.1852
569.2	2	8	7	1000	3	1	63.22	1824	3	25	-1	0	3994	0	12.97	1500	0.84
140.8	0	0	88	1356	0	0	0	1344	3	30	-1	0	0	0	0	1460	0.1034
778	3	2	2	1693	8	1	158.9	1387	1	97	-1	0	0	0	0	1506	1
0	0	0	87	0	0	0	0	1353	2	44	1458	0	0	0	0	0	0
0	0	0	83	0	0	0	0	1756	3	27	1385	0	0	0	0	0	0.1481
100	0	0	35	1403	1	1	8.652	1108	3	28	-1	0	0	0	0	1441	0.4138
0	0	0	81	1317	0	0	0	1319	3	25	-1	0	0	0	0	1477	0.04
529.8	0	6	8	0	3	2	54.33	1851	3	27	1535	1	0	0	0	0	0.8519
0	0	0	74	0	0	0	0	1359	3	30	1307	0	0	0	0	0	0.3448
79.2	0	0	30	0	1	1	18.27	1915	1	91	1640	0	8677	0	0	0	0.4444
150.3	0	0	31	1521	1	1	23.29	1370	1	96	-1	0	0	0	0	1502	0.6082
144.3	0	0	23	0	1	1	40.82	1869	1	93	1499	0	0	0	0	0	0.9263
237.2	2	3	18	0	2	2	49.42	1888	2	43	1498	1	1039	0	0	0	0.6591
331	1	6	11	0	2	1	43.24	1758	3	26	1505	1	577.3	0	0	0	0.5385
33.39	0	0	75	1349	0	0	0	1393	3	28	-1	0	232.3	0	0	1514	0.4444
349.2	0	0	4	0	4	4	23.17	1270	3	26	1485	0	0	0	0	0	0.9259
96.75	0	0	88	1292	0	0	0	1331	3	26	-1	0	0	0	0	1417	0.0741
0	0	1	67	1000	0	0	0	1333	2	49	-1	0	0	0	0	1500	0.4375
0	0	0	88	0	0	0	0	1369	1	98	1566	0	0	0	0	0	0.1313
120.4	0	0	43	0	1	1	3.109	1470	2	44	1496	0	0	0	0	0	0
15.6	0	0	92	0	0	0	0	1301	3	28	1483	0	0	0	0	0	0.037
178.4	0	0	24	0	1	1	1.246	1765	3	27	1506	1	1825	0	0	0	0.6667
0	0	0	80	1162	0	0	0	1318	2	48	-1	0	0	0	0	1520	0.2128
0	0	0	70	0	0	0	0	1397	3	27	1447	0	0	0	0	0	0.3462
0	0	0	68	1084	0	0	0	1821	2	40	-1	0	0	0	0	1460	0.1111
25.92	0	0	86	0	0	0	0	1394	1	93	1500	0	0	0	0	0	0.1146
11.33	1	0	28	0	1	1	143.9	1318	3	26	1500	0	0	0	0	0	0.5385
98.4	0	0	62	0	0	0	0	1322	1	97	1500	0	0	0	0	0	0.5625
268.6	0	4	17	0	2	1	13.98	1959	3	24	1383	1	0	0	0	0	0.5
200	1	0	43	0	1	1	1.559	1357	3	26	1325	0	0	0	0	0	0.08
29.4	0	0	80	1340	0	0	0	1326	3	28	-1	0	0	0	0	1584	0.2963
497.9	0	1	3	1654	5	2	51.71	1301	3	28	-1	0	0	0	0	1514	0.6071
90.42	0	3	77	1139	0	0	0	1517	3	27	-1	0	0	0	0	1508	0.1111
140	0	0	41	0	1	1	3.352	1897	2	45	1491	0	0	0	0	0	0.3333
172.8	0	0	41	0	1	1	16.89	1376	2	47	1486	0	0	0	0	0	0.3125
88	0	0	66	1338	0	0	0	1303	3	25	0	0	0	0	0	1511	0.2083
902.5	2	2	8	0	3	1	104.7	1825	3	28	1492	1	844	0	0	0	0.963
0	0	0	56	1000	0	0	0	1512	3	25	-1	0	0	0	0	1500	0.5385
36.48	0	0	77	1215	0	0	0	1532	3	25	-1	0	0	0	0	1597	0.24
0	0	0	79	1060	0	0	0	1397	3	26	-1	0	0	0	0	1443	0.1071
176	0	0	69	0	0	0	0	1835	2	47	1426	0	0	0	0	0	0.2857
435.7	0	2	9	1391	3	2	42.38	1307	3	29	-1	0	0	0	0	1504	0.7143
22.05	0	0	79	0	0	0	0	1435	3	27	1491	1	0	0	0	0	0.0769
145.4	1	0	17	0	2	2	65.25	1776	2	44	1573	0	1175	0	0	0	0.413
0	0	0	75	0	0	0	0	1963	1	89	1505	0	0	0	0	0	0.2234
629	2	1	4	0	5	2	200.2	1394	3	28	1456	3	203.5	0	0	0	1
0	0	1	53	1113	0	0	0	1361	2	45	-1	0	488.2	0	19.42	1533	0.6889
13.23	0	0	73	0	0	0	0	1486	2	42	1542	0	0	0	0	0	0.122
0	0	0	80	0	0	0	0	1413	2	48	1496	0	0	0	0	0	0.1702
40.8	0	0	46	0	0	0	0	1396	3	26	1466	0	0	0	0	0	0.92
50.66	0	0	77	1446	0	0	0	1321	3	29	-1	0	0	0	0	1471	0.1379
0	0	0	83	0	0	0	0	1809	3	23	1438	0	0	0	0	0	0.0435
0	0	0	89	1330	0	0	0	1396	3	28	-1	0	0	0	0	1574	0.1111
0	0	0	94	1397	0	0	0	1358	3	26	-1	0	0	0	0	1510	0
164.1	0	1	79	1254	0	0	0	1406	2	47	-1	0	0	0	0	1492	0.2292
0	0	0	78	1072	0	0	0	1420	3	27	-1	0	0	0	0	1507	0.1538
100	1	0	23	0	1	1	7.782	1338	3	27	1414	0	0	0	0	0	0.7692
37.62	0	0	82	0	0	0	0	1822	2	48	1496	0	0	0	0	0	0.1702
0	0	0	79	0	0	0	0	1360	3	25	1454	0	0	0	0	0	0.1667
158	0	6	21	1073	1	1	13.82	1462	1	79	-1	0	0	0	62.62	1512	0.8925
26.45	0	6	30	0	1	1	21.54	1829	3	26	1555	0	7055	0	0	0	0.6923
273.7	1	0	33	1584	1	1	40.66	1273	3	27	-1	0	0	0	0	1596	0.5185
71.38	0	0	81	0	0	0	0	1825	3	27	1547	0	0	0	0	0	0.1034
24.51	0	0	68	0	0	0	0	1448	2	46	1473	0	0	0	0	0	0.3404
93.31	0	0	75	1469	0	0	0	1416	3	26	-1	0	0	0	0	1503	0.1852
287.2	2	2	10	0	2	2	30.02	1325	2	42	1577	0	0	0	0	0	0.9091
128.6	0	0	35	0	1	1	7.938	1461	2	48	1488	0	0	0	0	0	0.25
156.8	0	1	35	1006	0	0	0	1383	2	30	-1	0	751.3	0	0	1490	0.4828
149.3	0	2	28	0	1	1	3.919	1369	3	26	1445	0	0	0	0	0	0.4444
0	0	0	76	0	0	0	0	1898	2	45	1488	0	0	0	0	0	0.2
273.3	1	2	19	0	2	2	47.05	1415	3	27	1499	1	0	0	0	0	0.3704
0	0	0	60	0	0	0	0	1403	2	46	1481	0	0	0	0	0	0.4255
28.38	0	1	48	0	0	0	0	1380	3	27	1500	2	56.81	0	0	0	0.7692
0	0	1	84	1164	0	0	0	1351	3	28	-1	0	0	0	0	1468	0.1429
14.16	0	2	45	1327	0	0	0	1314	3	31	-1	0	2782	0	0	1565	0.8667
20	0	0	45	0	0	0	0	1383	2	43	1470	0	0	0	0	0	0.8889
491.6	3	0	2	0	5	2	96.7	1336	3	28	1478	0	0	0	0	0	0.8276
431.8	1	2	10	0	3	1	14.83	1968	2	46	1447	0	0	0	0	0	0.6739
1101	0	9	2	0	7	2	67.01	1322	3	27	1593	2	0	0	0	0	0.9231
85.26	0	0	68	0	0	0	0	1404	2	45	1464	0	0	0	0	0	0.383
135.7	1	0	21	0	2	1	110.8	1787	3	30	1483	0	0	0	0	0	0.3448
335.9	0	4	16	0	1	1	5.65	1950	1	16	1500	0	3899	0	0	0	0.8
227.2	1	4	24	0	1	1	24.99	1325	2	46	1497	3	595.9	0	0	0	0.9574
171.5	1	0	29	0	1	1	14.52	1902	3	27	1499	0	3834	0	0	0	0.6429
0	0	0	59	1362	0	0	0	1378	3	27	-1	0	1195	0	0	1531	0.5185
29.4	0	0	62	1108	0	0	0	1384	3	28	-1	1	0	0	0	1493	0.4815
101.1	0	2	47	1171	0	0	0	1206	3	31	-1	0	614.1	0	0	1503	0.7667
177	0	2	20	1253	2	1	22.39	1227	3	28	-1	0	0	0	0	1486	0.3704
159.4	0	0	44	1094	0	0	0	1268	3	31	-1	1	265	0	0	1519	0.8667
227.6	0	2	21	0	2	1	81.33	1894	3	26	1581	1	1414	1	0	0	0.3462
128.9	0	0	45	0	0	0	0	1809	1	98	1660	0	8012	0	0	0	0.8687
0	0	0	84	0	0	0	0	1960	2	45	1409	0	0	0	0	0	0.1224
50.13	0	1	28	0	1	1	93.83	1378	2	46	1516	0	179	0	0	0	0.5745
144.8	0	1	18	1286	2	1	70.65	1384	3	28	-1	0	0	0	0	1521	0.4815
0	0	1	46	1319	0	0	0	1799	3	26	-1	1	2148	0	0	1531	0.6154
60.18	0	0	92	1285	0	0	0	1796	3	28	-1	0	0	0	0	1428	0.0714
427.5	2	4	2	1497	4	2	137.9	1806	3	25	-1	1	2645	0	0	1529	0.8148
187	0	0	21	0	2	2	49.3	1341	3	26	1508	0	0	0	0	0	0.44
36.01	0	0	88	1152	0	0	0	1913	3	32	-1	0	0	0	0	1473	0.0606
0	0	0	84	0	0	0	0	1797	2	47	1500	0	0	0	0	0	0.1277
72.91	0	0	25	1343	1	1	21.69	1889	3	29	-1	0	4407	0	0	1513	0.9
125.9	0	2	43	0	0	0	0	1879	3	26	1430	0	1281	0	285.2	0	0.8148
100	0	0	23	1352	1	1	11.68	1381	1	97	-1	0	0	0	51.49	1672	0.9588
131.3	0	1	54	0	0	0	0	1805	2	49	1500	0	0	0	0	0	0.7708
0	0	2	53	0	0	0	0	1369	3	29	1480	0	658.1	0	0	0	0.5714
0	0	0	59	0	0	0	0	1369	3	27	1470	0	653.7	0	0	0	0.5769
352.8	0	1	16	0	2	1	63.95	1406	3	27	1494	1	0	0	0	0	0.3333
286.7	1	1	11	1161	3	1	62.85	1896	1	86	-1	0	0	0	0	1534	0.4205
63.86	0	0	89	0	0	0	0	1391	3	27	1412	0	0	0	0	0	0.0385
60.84	0	6	36	0	0	0	0	1846	3	28	1423	0	4453	0	0	0	0.9643
425.7	1	2	5	0	4	1	85.44	1285	1	92	1562	0	0	0	0	0	0.8043
333.8	0	0	18	1796	2	1	42.45	1412	3	28	-1	1	0	0	0	1609	0.5714
0	0	0	89	0	0	0	0	1390	2	47	1474	0	0	0	0	0	0.0652
204.8	0	4	24	0	1	1	16.54	1380	3	29	1466	0	407.5	0	0	0	0.7857
368.9	1	2	7	1223	3	1	29.05	1465	1	95	-1	0	0	0	0	1509	0.9896
49.02	0	0	88	1217	0	0	0	1794	2	46	-1	0	0	0	0	1423	0.0833
1120	3	1	1	0	14	3	112.5	1305	3	29	1649	0	0	0	0	0	1
72.03	0	0	90	1185	0	0	0	1425	3	28	-1	0	0	0	0	1492	0.0741
0	0	0	58	0	0	0	0	1441	1	93	1565	0	0	0	0	0	0.5263
0	0	0	87	0	0	0	0	1851	3	24	1532	0	0	0	0	0	0.0417
180.9	1	2	21	0	1	1	177.6	1803	3	25	1392	0	1931	0	0	0	0.9259
129.4	2	6	13	0	2	1	142.7	1400	3	27	1707	0	0	0	0	0	0.9615
37.81	0	3	76	1000	0	0	0	1774	3	28	-1	0	1346	0	0	1500	0.2963
110	0	3	34	1026	1	1	158	1397	3	27	-1	0	66.54	0	0	1509	0.3462
151.6	1	0	44	0	1	1	11.6	1341	1	98	1527	0	0	0	0	0	0.2653
92.88	0	0	55	1363	0	0	0	1406	3	26	-1	0	0	0	0	1450	0.48
0	0	0	80	1168	0	0	0	1742	3	26	-1	0	0	0	0	1435	0.037
73.65	0	2	29	1000	1	1	5.877	1384	3	28	-1	1	381.5	0	0	1500	0.5926
0	0	0	74	1000	0	0	0	1889	2	45	-1	0	3219	0	0	1500	0.2917
316.7	1	0	8	1357	3	2	307.2	1446	3	30	-1	0	0	0	0	1400	0.7931
